quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate
2000K2,3,1.2,2.5058651819287903,3.2248510005739117,3.5,110,5.9,3.8854966303770944,0.8212544554215384,3.75
2000K3,1,0.5,2.001243088003335,3.1533734622717637,0.1,110.4,6.4,3.4285011768576013,-0.03834600928946941,3.75
2000K4,0.1,0,2.164629829714748,3.010067135332362,-10.2,111.2,6.5,-0.3436926334065227,0.7133788215391235,3.7936507936507935
2001K1,-0.1,0.3,1.5525615174555085,2.9305980788187473,-0.5,111,6.4,2.7697641377425697,0.13953195642386618,4
2001K2,-0.4,-0.1,2.5702789259739234,2.983221674037471,8.2,111.4,5.7,-0.46001974109985966,1.883531323287091,4
2001K3,0.9,0.3,1.9430495266263392,2.7609247355230497,3.1,111.7,6.3,1.689180792812639,0.062177456458201164,4.161538461538462
2001K4,0.4,-0.3,2.253440446401278,2.8431067733348976,-4.1,112.2,6.3,-1.8204087205555552,0.4217845230815698,3.75
2002K1,0.8,2,1.4680974645466804,2.840617303814771,2.7,112,6.3,1.4732705414053804,0.2719744537172275,3.778225806451613
2002K2,1.2,0.1,2.0316903200503944,2.735177952652987,10.8,112.2,5.7,1.876262640047166,1.19041719925006,4.1625
2002K3,-0.2,0.1,1.8122644113363506,2.662748745249587,4,112.8,6.5,3.6857955766083528,-0.06101653737422552,4.25
2002K4,0.1,0.4,2.2729627123613483,2.739285503460186,-4.1,113.9,6.4,-0.40665063304077265,0.7297526911854035,4.100806451612903
2003K1,1.3,0.2,1.8590456301936342,2.8067493314748355,2.6,115.1,6.4,-0.4416510235457416,1.0847400565747733,3.713709677419355
2003K2,-0.2,0.5,2.236588379969362,2.929958675605179,10.6,117,5.4,2.122937188735108,0.09585430880107992,3.389830508474576
2003K3,0.9,0.9,2.0120345585649346,2.898597474723749,3.5,118.4,5.8,2.506520688387859,-0.33589283020152294,2.772727272727273
2003K4,0.5,0.7,2.5248931014346,2.8787150345483354,-5.7,121,6,0.48438159336896547,0.4316553464974504,2.75
2004K1,1.7,1.4,2.0407053316452206,2.933880406013496,1.2,122.8,5.9,2.2370380354955977,-0.1316971157123703,2.607142857142857
2004K2,0.7,-0.5,2.9313853468957873,2.8635698463357775,7.6,126.2,5.1,3.6399059810168666,0.4422934710086146,2.033333333333333
2004K3,0.8,0.9,2.0852651368736375,2.8101840857060645,2.8,128.2,5.5,2.4390556445190725,-0.17907245279493722,2
2004K4,0.4,0.6,3.0003382929626454,2.79712715616999,-5,131.2,5.6,0.7652046213806329,0.3459179211264818,2
2005K1,0.4,1,1.7759417715970116,2.887380441680234,2.1,132.8,5.6,0.896883502223389,-0.3459179211264818,2
2005K2,0.9,0.6,2.9994606502633303,2.9914360685960606,9.5,134.4,4.7,3.0323162011246296,0.4768157800024042,1.9516129032258065
2005K3,1.4,1.8,2.680194258085855,3.064155482953611,-1.1,137.3,5.2,3.865995535275868,0.035669698969265085,1.5
2005K4,0.1,0,2.86305000886955,3.05809686792352,-5,139.6,5.1,1.4631001836095336,0.5571705481424161,1.5
2006K1,1.9,0.3,2.030146874040284,3.2102317897888595,3.6,140.6,5.2,3.496656767216244,-0.298352181911099,1.77734375
2006K2,1.7,1.3,2.943357753356679,3.0127061951719742,13.1,141.8,4.6,1.87592569520465,1.22324963562912,2.0296610169491527
2006K3,0.9,0.6,2.400837960995972,3.0928433456937117,1.4,143.4,5.6,2.906496613072296,0.0995100675077687,2.3192307692307694
2006K4,0.9,1.4,2.7572212000622542,3.126085614527908,-3.8,145.6,5.9,0.17682649657695393,0.5042204036756814,2.6865079365079363
2007K1,0.5,0.9,1.7729289072560661,3.2660281228791876,6.5,145.5,6.3,0.8008325118574966,0.10007448237914218,3.109375
2007K2,1.2,1,2.5978673842200095,3.276091850599794,18.2,145.1,5.4,4.150565828519959,1.09080843988405,3.26271186440678
2007K3,0.3,1.9,2.269158251876746,3.2178983630287408,2,146.2,6.8,4.143611925328106,0.22753138371349735,3.55
2007K4,1.1,0.6,2.513562989127749,2.9764860529767083,-3.6,148.3,7.2,-1.4720492758119263,1.6755081455906762,3.911290322580645
2008K1,-0.5,-0.7,2.040915022631573,2.9492772742322657,5.4,149.5,7.4,-1.399562125151288,0.17255286596986608,4.108870967741935
2008K2,-0.5,-0.3,2.8066644449507905,2.8334327753654915,21.1,150.2,6.2,-0.31916302897743165,1.7492180431970539,4.25
2008K3,-0.9,-1,1.6116338358809656,2.766341387056578,5.7,150.3,8.1,0.7411191152296048,0.6687733227205506,4.534090909090909
2008K4,-4,-1,1.447430184510523,2.685755004446777,-0.7,151,8.2,-3.494665989268153,-0.17173244789097097,3.653225806451613
2009K1,-1,1.1,1.4203907633930868,2.6900184090877715,8.7,151.2,6.2,-0.022476407839100432,-1.4404545937567903,1.5161290322580645
2009K2,0.5,1.3,2.4046773532225174,2.7643083115359444,18.4,154.1,4.4,3.448139421445706,0.47393189388245105,0.6083333333333333
2009K3,0,0.5,1.9200182037167224,2.8457642103878364,5.1,155.5,4.8,2.632041950634978,-0.034493310308914005,0.2689393939393939
2009K4,0.2,0.2,2.395642635340778,2.834189504379765,0.5,156.9,4.6,1.1759083092538702,0.5836678797840555,0.25
2010K1,1.6,2.3,1.5555364836719932,2.9336842061944224,8.7,158,4.4,1.9338289958866994,-0.014384270271960986,0.25
2010K2,3.3,0.3,2.0815677957291,2.864485027801867,19.2,159.9,3.7,1.75351232306733,0.5022224193401037,0.25
2010K3,1.7,1.2,2.015342302291323,2.9096547538133475,6.5,161.4,4.7,0.5065383084707165,0.04953355999894882,0.5492424242424242
2010K4,0.6,-0.1,1.570034434416101,2.9452063692279005,1.6,162,5.2,-0.9624686818050954,1.331472790550503,0.953125
2011K1,0.7,0.8,1.142425074699105,2.9435664533839687,8.8,161.9,5.9,-0.18453945114922377,0.3685321433499311,1.376984126984127
2011K2,0.8,0.9,1.5306478764445686,2.8685243047928655,20.6,161.5,5.3,-0.575380414604787,1.1253359712086741,1.6833333333333333
2011K3,1,-0.5,1.168688503813975,2.6827430460040493,7.5,161.6,6.7,-0.2931130710847718,0.11013040337717328,1.9886363636363635
2011K4,-3.1,-0.2,1.150465971907444,2.7198299301424793,1.7,162.2,6.9,-4.243607459216214,0.701764738861943,1.97265625
2012K1,1.2,0.9,0.9094774570179709,2.8383812870304967,9.6,162.4,6.9,-0.19009932418585507,-0.19012927078803088,1.640625
2012K2,0.6,0.2,1.2213926206516845,2.795574008211101,23.2,162,5.4,0.6485027622598949,0.4878731027716299,1.5
2012K3,0.7,0.7,0.9975833253660582,2.8125630205637613,8.9,162.1,6.4,1.874841949290662,-0.37948698258478686,1.45
2012K4,-1.4,0.1,0.8897806011777476,2.7714688146058832,4.3,161.7,6.1,-0.15175556475215402,0.15175556475215402,1.2298387096774193
2013K1,0.8,0.4,1.0015797590593678,2.8901762933641177,12.7,161.4,5.8,0.31650637661151393,-0.31650637661151393,1
2013K2,0.4,0.3,1.2723418707206946,2.884286994534546,22,163.3,4.8,1.2056081289784082,0.2677150223199476,1
2013K3,0.9,1.1,1.0855422207137977,2.9388428820343804,9,164,5.6,1.4646632279532668,-0.012732095507939079,1
2013K4,0.6,0.4,1.112412472041413,2.9650438228978095,4,164.6,5.5,0.7696189322427216,0.12724806603330308,0.9758064516129032
2014K1,0.5,0.5,1.0164812620637065,3.033527852309468,13,165.5,5.5,2.3250600016223366,-0.7306949619087177,0.75
2014K2,0.6,1.3,1.589248377967678,3.1284499148858207,23.5,165.6,4.4,1.8060090678620355,0.6246661545540988,0.75
2014K3,0.8,0.3,1.3118334152540712,3.166118317035705,9.7,166.6,5.2,3.2287218451429567,-0.18794702667142005,0.29545454545454547
2014K4,0.2,1.3,1.6219433053098697,3.2193402013630994,4.7,168.2,4.9,1.0772510468101792,0.08074369628578992,0.08064516129032258
2015K1,1.2,1.2,1.3557862384260488,3.4020842008295396,10,169.4,4.7,2.6224084117179913,-0.5067884149868362,-0.06048387096774194
2015K2,2.5,0.9,1.9879040320859076,3.325273015809702,22.6,170.3,3.5,3.225600650794913,0.4111637662925993,-0.25
2015K3,-0.1,0.8,1.6734110699651694,3.251240308424671,6.2,172.4,4.2,3.5548516142524633,-0.0457196331255183,-0.3424242424242424
2015K4,1,1,1.8506608548170433,3.2773136552729176,1,174.6,4.1,2.3096212842713015,0.2071658864213788,-0.35
2016K1,-0.5,0,2.2436116333482303,3.2269711008150486,11.9,176,4,0.21558734847895167,0.07638366185451773,-0.4237704918032787
2016K2,1.1,0.1,2.153066575669804,3.180436539121679,23.2,178,3.2,1.5898918013063756,0.5731341295641457,-0.5
2016K3,0.3,0.9,1.4989880509517661,3.283217349127657,6.4,179.4,4.1,3.056627840799564,0.17172269431302567,-0.5
2016K4,0.6,0.8,1.5278070681487677,3.3107977680591163,3.4,180.5,4,-0.19096388930828212,0.6044724040886074,-0.5
2017K1,0.8,1.5,1.4706310161381353,3.401570551615501,7.3,182.9,4,1.9241183535905648,0.11815820979554914,-0.5
2017K2,0.2,-0.5,1.9864080262781414,3.373151565115637,24.2,183.3,3.1,2.3155134572268032,0.8677792000942652,-0.5
2017K3,0.3,0.3,1.629408659358944,3.360140765268955,6.3,184.6,4,1.5258607360114418,0.5413963444605763,-0.5
2017K4,0.6,0.9,1.3489307703089537,3.2872447294792564,3.5,184.6,3.9,-0.222320665487441,0.222320665487441,-0.5
2018K1,0.5,0.7,1.216149692633195,3.279328581206837,13.4,183,3.8,-0.9495362675790986,0.050365148382702785,-0.5
2018K2,0.6,0.8,1.441750591076385,3.321666742128231,19.9,186.9,3.3,-2.2351879551522735,1.0671019938766513,-0.5
2018K3,-0.2,-0.5,1.1601948371991355,3.371861309265591,8.3,186.5,3.8,-0.24081156391053682,0.7616460746243447,-0.5
2018K4,1.3,0.7,1.501964243566789,3.1435644205910713,6.5,186.6,3.7,-0.32047014304321664,0.1905156088347404,-0.5
2019K1,0.3,-0.6,1.0506711095901622,3.310444692689134,15.7,186.6,3.8,0.4230172668119536,-0.16327686104347094,-0.2698412698412698
2019K2,1.3,0.5,1.4087616131822855,3.368592568060409,22.8,186.8,3.4,0.06955380111790532,1.2191238265177873,-0.25
2019K3,-0.3,1.2,1.1724440707522987,3.400009492467222,9.1,186.9,4,1.7682086119209295,0.2597442831319796,-0.25
2019K4,1.7,0.1,1.3392702040608384,3.4813667982577172,9.1,187.4,3.9,-0.14020416561830729,0.3908308632242452,-0.25
2020K1,0,0.8,1.1560275140368503,3.2682814101204185,13.4,188.2,4,2.0031367816517154,-0.8830255061696768,-0.011904761904761904
2020K2,-8.8,-9.8,1.439966306451268,3.410811669557592,22.4,193.6,3.8,1.738138624064245,0.34399415729433613,0
2020K3,6,6.3,1.2814402325432184,3.543624219587472,11.7,195.6,4.2,1.911689636160574,0.720041195576826,0
2020K4,1.4,-0.3,1.5393583567774982,3.6114277662007614,11.9,197.5,4,3.797436521919728,0.1382566064927815,0
2021K1,2.6,2.1,1.3359261018029756,3.7543488000142005,20.9,197.4,3.8,3.239738272889525,0.32808719298929034,0
2021K2,0.4,1.3,1.9123240023306565,3.816891084899764,21.5,196.7,3.4,5.149016444217036,0.5972450416155795,0
2021K3,-0.2,3.9,1.6130210641698284,3.7854443088617646,8.7,197.3,3.9,4.24123175540716,0.8984384103102094,0
2021K4,2.1,0.9,1.7473105722054072,3.912825728049559,7.7,198,3.7,-1.2449007869935969,1.4411717037784655,0
2022K1,-0.6,-0.4,1.3197162827147224,3.7263678426224756,18.1,196.8,3.3,-0.7303746910980458,1.6088576466713356,0
2022K2,1.1,1.5,1.4129968754931,3.407226913498946,19,194.4,3.2,-0.824438097026281,3.2249374237521167,0.1625
2022K3,-0.5,-1.3,0.619667212194841,3.3269113887540005,5.7,192.8,4.5,-3.861695267996179,3.0041387977565392,0.8484848484848485
2022K4,-1.1,-0.7,0.29539216194685025,3.3901728573593894,7.8,189.1,5.2,-9.316284480981007,3.09819887653644,2.0078125
2023K1,1.2,-1.3,0.054648559973102806,3.5302515508366965,17.8,186.4,5.6,-6.175534538442307,1.4847319268379344,2.7578125
2023K2,-1,0.4,0.2546516189733339,3.5889925452499805,21.2,184,5.7,-3.2788552104855206,1.773450436928492,3.3389830508474576
2023K3,1.5,0,0.16247149923849236,3.499221757887679,9.1,181.3,7.2,-0.4302449044179646,1.0781953355166074,3.753846153846154
2023K4,-1.6,0.9,-0.05384741013116923,3.5946885199751755,8.9,179.9,7.5,-2.1481446396135695,1.0658829937984393,4
2024K1,3,0.2,0.20033300016422118,3.8214588989596376,19.1,178.4,7.7,-1.6310059905035423,0.6468537060244195,4
2024K2,-1.3,0,0.4217195193886525,3.8968793486576083,23.8,176.5,6.9,0.6565919580941326,0.5449517163469864,3.870833333333333
2024K3,0.8,0.5,0.38673469441050656,3.9509679324314546,10.2,175.5,7.9,2.492876184617554,-0.238352352511928,3.640151515151515
2024K4,1.2,0.8,0.49388839922936967,3.9393088658185893,10.9,174.4,7,-0.9918921005742654,0.35291229069711605,3.004032258064516
2025K1,-0.5,0.4,0.5227754408984708,3.875569413906347,15.9,174.1,6.2,0.08967571766644866,0.23032455540068497,2.3548387096774195
2025K2,1.1,0.2,0.7871055578130282,3.9852301437023607,21.7,173.9,5.3,0.6844122844597678,0.05829669990173869,2.233050847457627
2025K3,0.4,1,0.6567991947953544,4.026287996914202,7.1,173.2,5.9,0.3484363129711454,0.28381026097754614,2
2025K4,0.8,0.6,0.734734719821617,4.070435151347668,8,172.7,5.5,-1.0825488550531226,-0.07964066554544402,1.75
